Row,Model,Wavelength,Reconstruction,Residual
original_firstorder_10Percentile,0.483176514371807,0.00982109919841429,0.120330735132793,0.386671651296985
original_firstorder_90Percentile,0.13887975645619,0.00637648975064456,0.730335239634822,0.124408514158344
original_firstorder_Energy,0.261039833987052,0.0167021107055566,0.418609512918779,0.303648542388613
original_firstorder_Entropy,0.478808387896975,0.0329665627546438,0.30849095825141,0.179734091096971
original_firstorder_InterquartileRange,0.0616451467818065,0.010514382401043,0.862970618047528,0.0648698527696225
original_firstorder_Kurtosis,0.840632065480223,0.00541659528498438,0.0905381397128729,0.0634131995219194
original_firstorder_Maximum,0.133915799004254,0.00993509487210704,0.715028501643816,0.141120604479823
original_firstorder_Mean,0.172275696887918,0.00412496651765053,0.677206893057201,0.146392443537231
original_firstorder_MeanAbsoluteDeviation,0.102590293504677,0.0103700866237374,0.784564142012269,0.102475477859317
original_firstorder_Median,0.147031573209544,0.0036833040411349,0.727244339926534,0.122040782822787
original_firstorder_Minimum,0.130110941758444,0.0307252603569205,0.654309855174767,0.184853942709868
original_firstorder_Range,0.133610684839385,0.0125997483858405,0.70599899842161,0.147790568353165
original_firstorder_RobustMeanAbsoluteDeviation,0.0693942798453038,0.0105442073828877,0.848198526286599,0.0718629864852098
original_firstorder_RootMeanSquared,0.152421988768311,0.00636538216877946,0.704750412833891,0.136462216229019
original_firstorder_Skewness,0.900545369414263,0.018185395716265,0.0470761227207133,0.0341931121487592
original_firstorder_TotalEnergy,0.261039833987052,0.0167021107055566,0.418609512918779,0.303648542388612
original_firstorder_Uniformity,0.356782839611382,0.0336516050212291,0.318140459282129,0.29142509608526
original_firstorder_Variance,0.23327245062345,0.027764951234749,0.43420752381858,0.304755074323222
original_glcm_Autocorrelation,0.00221432600159354,0.272905074246697,0.29409709305683,0.43078350669488
original_glcm_ClusterProminence,0.110186351668902,0.0283554097954486,0.542216443582364,0.319241794953285
original_glcm_ClusterShade,0.897416923563543,0.0402408987164615,0.0490497677457227,0.0132924099742731
original_glcm_ClusterTendency,0.23429624242749,0.0555754936908279,0.493503814159828,0.216624449721854
original_glcm_Contrast,0.0454642633678875,0.0271618280779801,0.0484693114218369,0.878904597132296
